A̱o,Hora,Accidentes,Heridos,Muertos
2012,De 00 a 01,260,236,0
2012,De 01 a 02,229,196,1
2012,De 02 a 03,176,147,2
2012,De 03 a 04,163,119,3
2012,De 04 a 05,191,113,1
2012,De 05 a 06,183,143,2
2012,De 06 a 07,256,218,4
2012,De 07 a 08,366,323,2
2012,De 08 a 09,591,539,1
2012,De 09 a 10,719,678,2
2012,De 10 a 11,572,613,0
2012,De 11 a 12,558,569,1
2012,De 12 a 13,677,728,1
2012,De 13 a 14,687,723,1
2012,De 14 a 15,697,766,1
2012,De 15 a 16,579,595,0
2012,De 16 a 17,593,618,2
2012,De 17 a 18,648,664,1
2012,De 18 a 19,700,758,1
2012,De 19 a 20,781,835,2
2012,De 20 a 21,706,759,1
2012,De 21 a 22,560,620,1
2012,De 22 a 23,421,421,1
2012,De 23 a 24,381,382,2
2013,De 00 a 01,245,213,3
2013,De 01 a 02,228,172,1
2013,De 02 a 03,149,125,0
2013,De 03 a 04,170,116,0
2013,De 04 a 05,151,96,2
2013,De 05 a 06,173,104,0
2013,De 06 a 07,258,214,1
2013,De 07 a 08,349,305,1
2013,De 08 a 09,633,582,0
2013,De 09 a 10,696,668,1
2013,De 10 a 11,520,540,0
2013,De 11 a 12,582,612,0
2013,De 12 a 13,636,713,0
2013,De 13 a 14,692,766,2
2013,De 14 a 15,790,921,4
2013,De 15 a 16,642,743,1
2013,De 16 a 17,619,606,0
2013,De 17 a 18,627,635,0
2013,De 18 a 19,673,726,3
2013,De 19 a 20,781,809,2
2013,De 20 a 21,720,796,1
2013,De 21 a 22,596,633,4
2013,De 22 a 23,450,456,4
2013,De 23 a 24,322,319,3
2014,De 00 a 01,249,202,0
2014,De 01 a 02,210,193,0
2014,De 02 a 03,157,125,1
2014,De 03 a 04,153,121,2
2014,De 04 a 05,160,108,1
2014,De 05 a 06,136,83,1
2014,De 06 a 07,218,188,2
2014,De 07 a 08,351,323,2
2014,De 08 a 09,628,613,3
2014,De 09 a 10,732,741,1
2014,De 10 a 11,545,592,0
2014,De 11 a 12,595,659,0
2014,De 12 a 13,719,766,1
2014,De 13 a 14,710,792,1
2014,De 14 a 15,828,936,0
2014,De 15 a 16,668,758,1
2014,De 16 a 17,611,650,1
2014,De 17 a 18,625,642,1
2014,De 18 a 19,713,777,0
2014,De 19 a 20,715,809,0
2014,De 20 a 21,744,827,3
2014,De 21 a 22,599,629,0
2014,De 22 a 23,487,514,2
2014,De 23 a 24,350,348,1
2015,De 00 a 01,258,219,0
2015,De 01 a 02,220,190,1
2015,De 02 a 03,174,145,4
2015,De 03 a 04,159,139,1
2015,De 04 a 05,153,105,0
2015,De 05 a 06,149,90,1
2015,De 06 a 07,217,169,0
2015,De 07 a 08,325,300,1
2015,De 08 a 09,595,585,0
2015,De 09 a 10,734,775,1
2015,De 10 a 11,562,570,1
2015,De 11 a 12,602,637,1
2015,De 12 a 13,638,688,2
2015,De 13 a 14,749,868,1
2015,De 14 a 15,757,877,0
2015,De 15 a 16,644,733,1
2015,De 16 a 17,587,632,0
2015,De 17 a 18,622,691,2
2015,De 18 a 19,669,757,0
2015,De 19 a 20,700,818,1
2015,De 20 a 21,696,769,1
2015,De 21 a 22,650,677,4
2015,De 22 a 23,535,585,0
2015,De 23 a 24,328,364,1
2016,De 00 a 01,255,249,0
2016,De 01 a 02,213,136,2
2016,De 02 a 03,165,135,1
2016,De 03 a 04,139,97,3
2016,De 04 a 05,135,73,0
2016,De 05 a 06,178,112,0
2016,De 06 a 07,247,192,4
2016,De 07 a 08,381,340,2
2016,De 08 a 09,603,576,4
2016,De 09 a 10,783,810,2
2016,De 10 a 11,600,607,1
2016,De 11 a 12,574,623,1
2016,De 12 a 13,640,688,2
2016,De 13 a 14,772,846,0
2016,De 14 a 15,869,961,2
2016,De 15 a 16,692,781,1
2016,De 16 a 17,630,680,2
2016,De 17 a 18,638,668,2
2016,De 18 a 19,721,804,0
2016,De 19 a 20,781,868,2
2016,De 20 a 21,773,862,2
2016,De 21 a 22,652,710,1
2016,De 22 a 23,528,534,1
2016,De 23 a 24,368,341,0
2017,De 00 a 01,266,268,1
2017,De 01 a 02,212,195,1
2017,De 02 a 03,188,139,1
2017,De 03 a 04,136,80,0
2017,De 04 a 05,145,76,1
2017,De 05 a 06,155,109,1
2017,De 06 a 07,243,186,0
2017,De 07 a 08,424,399,1
2017,De 08 a 09,661,682,1
2017,De 09 a 10,748,792,0
2017,De 10 a 11,564,623,3
2017,De 11 a 12,612,661,2
2017,De 12 a 13,623,709,1
2017,De 13 a 14,706,747,0
2017,De 14 a 15,852,958,3
2017,De 15 a 16,706,821,0
2017,De 16 a 17,659,707,1
2017,De 17 a 18,677,719,1
2017,De 18 a 19,696,728,2
2017,De 19 a 20,788,879,1
2017,De 20 a 21,813,938,0
2017,De 21 a 22,641,671,1
2017,De 22 a 23,556,582,2
2017,De 23 a 24,406,404,3
2018,De 00 a 01,371,296,0
2018,De 01 a 02,255,160,2
2018,De 02 a 03,231,169,0
2018,De 03 a 04,191,109,0
2018,De 04 a 05,172,108,0
2018,De 05 a 06,191,122,3
2018,De 06 a 07,314,222,2
2018,De 07 a 08,464,368,3
2018,De 08 a 09,777,677,2
2018,De 09 a 10,900,787,2
2018,De 10 a 11,678,590,3
2018,De 11 a 12,662,599,1
2018,De 12 a 13,807,688,2
2018,De 13 a 14,941,813,1
2018,De 14 a 15,1012,987,5
2018,De 15 a 16,858,783,7
2018,De 16 a 17,885,798,0
2018,De 17 a 18,821,720,1
2018,De 18 a 19,969,823,0
2018,De 19 a 20,1057,913,1
2018,De 20 a 21,961,835,0
2018,De 21 a 22,849,741,0
2018,De 22 a 23,677,578,0
2018,De 23 a 24,450,351,1
2019,De 00 a 01,497,279,0
2019,De 01 a 02,352,169,3
2019,De 02 a 03,333,155,1
2019,De 03 a 04,250,115,0
2019,De 04 a 05,236,107,0
2019,De 05 a 06,264,102,1
2019,De 06 a 07,373,170,1
2019,De 07 a 08,658,441,1
2019,De 08 a 09,1110,709,1
2019,De 09 a 10,1246,770,3
2019,De 10 a 11,967,588,1
2019,De 11 a 12,953,585,0
2019,De 12 a 13,1137,718,1
2019,De 13 a 14,1224,791,1
2019,De 14 a 15,1383,959,0
2019,De 15 a 16,1249,801,1
2019,De 16 a 17,1359,772,0
2019,De 17 a 18,1312,764,2
2019,De 18 a 19,1496,884,2
2019,De 19 a 20,1418,918,4
2019,De 20 a 21,1387,858,5
2019,De 21 a 22,1196,765,1
2019,De 22 a 23,886,588,2
2019,De 23 a 24,646,376,2
2020,De 00 a 01,400,189,2
2020,De 01 a 02,267,122,1
2020,De 02 a 03,186,83,2
2020,De 03 a 04,142,51,1
2020,De 04 a 05,100,34,0
2020,De 05 a 06,128,56,1
2020,De 06 a 07,180,91,1
2020,De 07 a 08,340,193,0
2020,De 08 a 09,576,349,2
2020,De 09 a 10,670,400,1
2020,De 10 a 11,576,330,2
2020,De 11 a 12,645,366,2
2020,De 12 a 13,785,449,0
2020,De 13 a 14,837,543,3
2020,De 14 a 15,1005,673,3
2020,De 15 a 16,922,560,1
2020,De 16 a 17,770,393,2
2020,De 17 a 18,843,438,0
2020,De 18 a 19,937,512,0
2020,De 19 a 20,984,567,2
2020,De 20 a 21,942,602,4
2020,De 21 a 22,842,535,1
2020,De 22 a 23,594,375,2
2020,De 23 a 24,499,309,1
2021,De 00 a 01,447,215,1
2021,De 01 a 02,318,177,1
2021,De 02 a 03,239,96,2
2021,De 03 a 04,190,79,1
2021,De 04 a 05,161,56,0
2021,De 05 a 06,163,63,0
2021,De 06 a 07,237,125,0
2021,De 07 a 08,414,259,0
2021,De 08 a 09,700,415,0
2021,De 09 a 10,838,514,0
2021,De 10 a 11,753,472,1
2021,De 11 a 12,778,454,2
2021,De 12 a 13,929,513,2
2021,De 13 a 14,1052,606,2
2021,De 14 a 15,1296,877,1
2021,De 15 a 16,1189,737,1
2021,De 16 a 17,1038,551,1
2021,De 17 a 18,1157,630,1
2021,De 18 a 19,1199,630,1
2021,De 19 a 20,1197,649,0
2021,De 20 a 21,1124,612,1
2021,De 21 a 22,994,577,3
2021,De 22 a 23,797,460,1
2021,De 23 a 24,745,402,2
2022,De 00 a 01,475,214,0
2022,De 01 a 02,385,184,0
2022,De 02 a 03,326,156,0
2022,De 03 a 04,277,101,2
2022,De 04 a 05,253,107,2
2022,De 05 a 06,305,134,0
2022,De 06 a 07,423,204,0
2022,De 07 a 08,570,305,0
2022,De 08 a 09,882,572,1
2022,De 09 a 10,1006,615,0
2022,De 10 a 11,873,550,2
2022,De 11 a 12,885,500,0
2022,De 12 a 13,963,582,1
2022,De 13 a 14,1065,690,0
2022,De 14 a 15,1317,826,2
2022,De 15 a 16,1277,754,1
2022,De 16 a 17,1148,647,0
2022,De 17 a 18,1228,663,0
2022,De 18 a 19,1393,704,4
2022,De 19 a 20,1362,732,0
2022,De 20 a 21,1342,747,1
2022,De 21 a 22,1080,632,3
2022,De 22 a 23,780,480,0
2022,De 23 a 24,606,314,1
